area,name,price,unit_price,place
新街口西里二区,1280万,105.14平米,"121,743元/平",xicheng
荣丰2008,473万,27.86平米,"169,778元/平",xicheng
羊肉胡同120号院,1120万,81.7平米,"137,087元/平",xicheng
冠英园小区,1995万,152.36平米,"130,940元/平",xicheng
北礼士路,790万,63.5平米,"124,410元/平",xicheng
新街口西里三区,1005万,84.86平米,"118,431元/平",xicheng
新街口西里一区,1180万,84.59平米,"139,497元/平",xicheng
北营房西里,750万,57.5平米,"130,435元/平",xicheng
三里河南二巷,789万,54.9平米,"143,716元/平",xicheng
南菜园街1号院,780万,77.78平米,"100,283元/平",xicheng
木樨地,985万,69.4平米,"141,931元/平",xicheng
北礼士路,770万,60.1平米,"128,120元/平",xicheng
新风街,860万,53.5平米,"160,748元/平",xicheng
广南小区,660万,73.96平米,"89,238元/平",xicheng
华龙大厦,1600万,210.44平米,"76,032元/平",xicheng
信和嘉园,2980万,308.5平米,"96,597元/平",xicheng
富国里小区,1155万,80平米,"144,375元/平",xicheng
红莲晴园,1200万,117.67平米,"101,981元/平",xicheng
政泰家园,555万,67.44平米,"82,296元/平",xicheng
新德街35号院,1340万,89.5平米,"149,721元/平",xicheng
车站西街13号院,390万,48.97平米,"79,641元/平",xicheng
青春无限,880万,91.31平米,"96,375元/平",xicheng
玉桃园三区,720万,57.7平米,"124,784元/平",xicheng
远见名苑,1100万,93.25平米,"117,963元/平",xicheng
西黄城根45号院,1132万,65平米,"174,154元/平",xicheng
广安门外大街,606万,58.86平米,"102,957元/平",xicheng
文联宿舍,1200万,80.6平米,"148,884元/平",xicheng
西便门东里,660万,56.66平米,"116,485元/平",xicheng
百万庄中里,605万,41.7平米,"145,084元/平",xicheng
红居南街,888万,93.31平米,"95,167元/平",xicheng
三义里,638万,57.21平米,"111,519元/平",xicheng
新街口西里二区,1200万,101.6平米,"118,111元/平",xicheng
车站西街,516万,49.28平米,"104,708元/平",xicheng
温馨家园,1416万,80.5平米,"175,901元/平",xicheng
西直门外大街,880万,68.6平米,"128,280元/平",xicheng
车站西街15号院,653万,57.41平米,"113,744元/平",xicheng
车站西街17号院,490万,46.8平米,"104,701元/平",xicheng
教场口9号院,1300万,84.68平米,"153,520元/平",xicheng
阜成门北大街,830万,64.2平米,"129,284元/平",xicheng
车站西街9号院,816万,79.22平米,"103,005元/平",xicheng
安德路,950万,68.3平米,"139,093元/平",xicheng
马甸南村,1239万,75平米,"165,200元/平",xicheng
馨莲茗园,920万,95.9平米,"95,934元/平",xicheng
德胜置业,1560万,186.91平米,"83,463元/平",xicheng
月坛北小街1号院,799万,60.1平米,"132,946元/平",xicheng
北营房西里,785万,58.2平米,"134,880元/平",xicheng
建功南里,718万,68.94平米,"104,149元/平",xicheng
六铺炕二区,738万,42.4平米,"174,057元/平",xicheng
铁二区,1050万,69.9平米,"150,215元/平",xicheng
朗琴园,1750万,132.55平米,"132,026元/平",xicheng
新德街35号院,740万,45.3平米,"163,356元/平",xicheng
德胜里一区,1200万,79.7平米,"150,565元/平",xicheng
榆树馆西里,1480万,137.87平米,"107,348元/平",xicheng
新街口西里三区,750万,55.92平米,"134,121元/平",xicheng
阳光丽景,2390万,146.71平米,"162,907元/平",xicheng
三义里,635万,60.31平米,"105,290元/平",xicheng
新安北里,690万,61.32平米,"112,525元/平",xicheng
阜成门南大街,699万,58.2平米,"120,104元/平",xicheng
新街口西里三区,870万,60.71平米,"143,305元/平",xicheng
西直门南大街,1300万,94.2平米,"138,005元/平",xicheng
五路通北街,870万,55.8平米,"155,914元/平",xicheng
裕中东里,998万,77.8平米,"128,278元/平",xicheng
车公庄大街6号院,760万,44.5平米,"170,787元/平",xicheng
西便门东里,650万,59.45平米,"109,336元/平",xicheng
恬心家园,820万,89.2平米,"91,929元/平",xicheng
清芷园,990万,77.36平米,"127,974元/平",xicheng
荣丰2008,542万,30.27平米,"179,056元/平",xicheng
莲花池东路24号院,848万,87.39平米,"97,037元/平",xicheng
大乘巷,1040万,74.3平米,"139,974元/平",xicheng
扣钟北里,790万,65平米,"121,539元/平",xicheng
新外大街10号院,765万,60.4平米,"126,656元/平",xicheng
京师吉地,1550万,91.43平米,"169,529元/平",xicheng
六铺炕一区6号院,1260万,150.1平米,"83,945元/平",xicheng
阜成门南大街,615万,40.1平米,"153,367元/平",xicheng
南纬路南巷9号院,860万,75.23平米,"114,317元/平",xicheng
源屋曲,1170万,106.46平米,"109,901元/平",xicheng
裕中东里,838万,59.1平米,"141,794元/平",xicheng
车站东街15号院,510万,51.92平米,"98,229元/平",xicheng
远见名苑,509万,57.75平米,"88,139元/平",xicheng
胜利三巷,560万,50.22平米,"111,510元/平",xicheng
右安门西街,745万,68.29平米,"109,094元/平",xicheng
新明胡同,710万,45.2平米,"157,080元/平",xicheng
新康街甲一号,1450万,94.01平米,"154,239元/平",xicheng
新外大街甲8号院,1850万,133.5平米,"138,577元/平",xicheng
融城,1860万,157.68平米,"117,961元/平",xicheng
车站西街,610万,57.57平米,"105,958元/平",xicheng
白广路东里1号院,1386万,127.12平米,"109,031元/平",xicheng
南礼士路三条北里,1097万,86.1平米,"127,410元/平",xicheng
南纬路2号院,638万,64.37平米,"99,115元/平",xicheng
双旗杆东里,1310万,82.1平米,"159,562元/平",xicheng
车公庄北里,860万,71.1平米,"120,957元/平",xicheng
铁二区,1080万,70.3平米,"153,628元/平",xicheng
宣武门西大街,640万,52.66平米,"121,535元/平",xicheng
荣丰2008,525万,34.53平米,"152,042元/平",xicheng
红莲中里,610万,58.61平米,"104,078元/平",xicheng
考拉社区,478万,40.42平米,"118,259元/平",xicheng
南纬路,625万,54.15平米,"115,421元/平",xicheng
物华大厦,1080万,157.62平米,"68,520元/平",xicheng
展览路,679万,53.2平米,"127,632元/平",xicheng
广信嘉园,1170万,158.36平米,"73,883元/平",xicheng
新街口西里三区,790万,70.12平米,"112,665元/平",xicheng
双旗杆东里,760万,52.7平米,"144,213元/平",xicheng
京师吉地,986万,57.85平米,"170,441元/平",xicheng
红莲中里,415万,31.7平米,"130,915元/平",xicheng
右安门内西街甲10号院,500万,38.88平米,"128,601元/平",xicheng
手帕口北街,545万,62.34平米,"87,424元/平",xicheng
格调小区,759万,73平米,"103,973元/平",xicheng
三里河南二巷,850万,57.31平米,"148,317元/平",xicheng
后桃园胡同9号院,769万,57.1平米,"134,677元/平",xicheng
车站东街甲9号院,568万,54.64平米,"103,954元/平",xicheng
远见名苑,550万,57.75平米,"95,239元/平",xicheng
乐城,430万,42.88平米,"100,280元/平",xicheng
罗贤胡同,760万,53.5平米,"142,057元/平",xicheng
如意里,499万,48.5平米,"102,887元/平",xicheng
小红庙,515万,52.63平米,"97,853元/平",xicheng
清芷园,995万,80.68平米,"123,327元/平",xicheng
富国里小区,975万,69.3平米,"140,693元/平",xicheng
裕中东里,715万,42.3平米,"169,031元/平",xicheng
塔院胡同12号院,885万,62.9平米,"140,700元/平",xicheng
复兴门外大街,730万,50.7平米,"143,985元/平",xicheng
华仁路小区,619万,65.15平米,"95,012元/平",xicheng
南露园,570万,39.4平米,"144,671元/平",xicheng
新安中里,600万,49.98平米,"120,049元/平",xicheng
南礼士路甲1号,605万,47.9平米,"126,305元/平",xicheng
丽阳四季,920万,91.48平米,"100,569元/平",xicheng
月坛北街,750万,51.8平米,"144,788元/平",xicheng
教场口6号院,789万,52.06平米,"151,556元/平",xicheng
红莲南里,489万,42.86平米,"114,093元/平",xicheng
月坛北街,619万,38.5平米,"160,780元/平",xicheng
似海怡家,820万,80.48平米,"101,889元/平",xicheng
宣武门西大街,595万,46.68平米,"127,464元/平",xicheng
红莲南里,718万,70.26平米,"102,192元/平",xicheng
红莲晴园,695万,65.48平米,"106,140元/平",xicheng
天桥北里,625万,60.48平米,"103,340元/平",xicheng
西便门内大街97号院,591万,57.51平米,"102,765元/平",xicheng
法源寺西里小区,730万,72.31平米,"100,955元/平",xicheng
槐柏树街南里,637万,58.02平米,"109,790元/平",xicheng
玉桃园三区,640万,43.1平米,"148,492元/平",xicheng
复兴门外大街,730万,51.7平米,"141,200元/平",xicheng
牛街西里,768万,75.84平米,"101,266元/平",xicheng
格调小区,600万,56.33平米,"106,516元/平",xicheng
罗贤胡同,848万,58.2平米,"145,705元/平",xicheng
南菜园街1号院,610万,57.14平米,"106,756元/平",xicheng
月坛北街25号院,640万,40.2平米,"159,204元/平",xicheng
广安门外大街,545万,54.34平米,"100,295元/平",xicheng
新街口西里三区,810万,62.49平米,"129,621元/平",xicheng
新外大街甲8号院,935万,66.2平米,"141,239元/平",xicheng
南菜园街1号院,460万,40.37平米,"113,946元/平",xicheng
远见国际公寓,477万,47.71平米,"99,980元/平",xicheng
团结大院,688万,59.2平米,"116,217元/平",xicheng
康城别墅一期,1450万,342.72平米,"42,309元/平",chaoyang
望京西园三区,1095万,148.98平米,"73,500元/平",chaoyang
首开畅心园,310万,71.84平米,"43,152元/平",chaoyang
北辰福第一号院,415万,86.36平米,"48,055元/平",chaoyang
芍药居北里,1166万,130.26平米,"89,514元/平",chaoyang
管庄西里,349万,71.32平米,"48,935元/平",chaoyang
望京新城,660万,89.48平米,"73,760元/平",chaoyang
朝阳新城四区,545万,107.07平米,"50,902元/平",chaoyang
山水蓝维,1130万,150.3平米,"75,183元/平",chaoyang
和乔丽致公寓,649万,79.18平米,"81,966元/平",chaoyang
南沙滩小区,436万,52.9平米,"82,420元/平",chaoyang
华威西里,345万,57.34平米,"60,168元/平",chaoyang
中海城香克林,720万,119.85平米,"60,076元/平",chaoyang
华腾园,685万,98.7平米,"69,403元/平",chaoyang
工体西里,458万,47.59平米,"96,239元/平",chaoyang
潘家园东里,520万,84.49平米,"61,546元/平",chaoyang
沿海赛洛城二期,670万,105.65平米,"63,417元/平",chaoyang
环卫家园,530万,98.89平米,"53,595元/平",chaoyang
奥北南区,280万,84.62平米,"33,090元/平",chaoyang
十里堡北里,428万,69.2平米,"61,850元/平",chaoyang
兴隆家园,460万,66.1平米,"69,592元/平",chaoyang
北京新天地三期,379万,65.54平米,"57,828元/平",chaoyang
远洋天地二期,850万,135.8平米,"62,593元/平",chaoyang
瑞和国际,488万,116.15平米,"42,015元/平",chaoyang
浩鸿园,1100万,124.77平米,"88,163元/平",chaoyang
望京新城,795万,115.45平米,"68,861元/平",chaoyang
